Grade,State,Process,Rm,Rp,A,Z,Usage
AKOT,M (退火),板材,450,300,20,30,化工厂强酸环境、高温浓硝酸
KS EL-F,M (退火),棒材,700,600,15,25,连杆、曲轴，机械加工效率高
KS-Ti20,M (退火),板材,500,350,25,0,汽车排气歧管、消声器 (Gr37)
KS100,M (退火),精密轧制,650,550,15,0,高端手表表壳、电子产品外壳 (高光泽)
KS120SI,M (退火),特殊处理,750,650,10,0,防刮花装饰件、高硬度消费品
KS15-0-3,M (退火),棒材/丝材,800,700,15,40,低模量高弹性，适合医疗植入/弹簧
KS15-5-3,STA (时效),固溶+时效,1250,1150,10,25,深海潜水器、高强螺栓、高压阀门
KS16-4-3-3,STA (时效),固溶+时效,1100,1000,8,20,高性能铆钉、飞机紧固件
KS40,M (退火),板材冷轧,340,215,27,40,热交换器、深冲压零件、板式换热器
KS50,M (退火),板材冷轧,440,315,23,35,化工容器、通用结构件
KS60,M (退火),板材冷轧,540,415,20,30,高压容器、海洋结构
KSTI-0.9SA,M (退火),薄板,340,215,25,35,高温排气部件，抗氧化皮剥落
KSTI-1.2ASNEX,M (退火),薄板,500,350,25,0,摩托车/跑车排气管，800℃高温抗氧化
KSTI-1.5AL,M (退火),板材/管材,400,245,20,30,汽车/摩托车排气系统，耐热性好
KSTI-5TA,M (退火),板材,345,215,20,30,化工硝酸回收设备，耐蚀性远超纯钛
KSTI-9,M (退火),冷轧板,900,830,12,25,航天冷成形件，强度对标 Ti-6Al-4V
SP700,M (退火),板材/薄板,960,900,18,35,高尔夫球头、高端手表壳、航空超塑性成形件
SP700,STA (时效),强化热处理,1200,1100,10,25,高强度紧固件、弹簧、高性能连杆
TA1,M (退火),600-700℃ 空冷 | 板材TP270,240,140,24,30,高塑性，用于深冲件、换热器 | 换热器、深冲件、容易变形加工
TA10,M (退火),650-750℃ 空冷,485,345,18,25,即Gr12，耐缝隙腐蚀
TA15,M (退火),750-850℃ 空冷,930,870,10,25,高强高韧，飞机结构件 (比TC4略强)
TA18,CW (冷加),冷轧管材 | 管材,620,485,15,0,即Gr9，高压油管、自行车架 | 高尔夫球杆、自行车架、液压管路
TA18,M (退火),退火态管材,415,275,20,0,易于弯曲成形
TA2,M (退火),600-700℃ 空冷 | 板材TP340,400,275,20,30,工业通用，耐蚀结构件 | 一般工业配管、化工容器 (最常用)
TA3,M (退火),600-700℃ 空冷 | 板材TP480,500,380,18,30,压力容器，强度稍高 | 强度要求较高的化工设备
TA4,M (退火),600-700℃ 空冷 | 板材TP550,600,483,15,25,纯钛最高强，配件接头 | 高强度支架、骨科植入物原材料
TA7,M (退火),700-850℃ 空冷,805,760,10,25,高温抗蠕变，不可热处理强化
TA9,M (退火),600-750℃ 空冷,370,275,20,30,即Gr7，极端耐腐蚀环境
TB2,STA (固溶时效),固溶+时效,1130,1030,6,15,冷成形后时效，卫星波纹管
TB3,STA (固溶时效),固溶+时效,1175,1080,6,15,高强螺栓
TB5,STA (固溶时效),固溶+时效,1100,1000,6,0,Ti-15-3，良好的冷成形性
TB6,STA (固溶时效),固溶+时效,1150,1080,8,25,Ti-1023，代替结构钢，起落架
TC1,M (退火),700-800℃ 空冷,590,440,16,30,低强高塑，板材蒙皮
TC11,M (退火),双重退火 (950℃+530℃),1030,900,9,30,航空发动机压气机盘，耐热
TC17,STA (固溶时效),β锻+固溶+时效,1180,1100,6,15,极高强度，大型整体锻件
TC18,M (退火),750℃ 空冷,1080,950,10,30,大型结构件，淬透性好
TC18,STA (时效),板材/棒材,1100,1000,8,20,高强度弹簧、紧固件
TC2,M (退火),700-800℃ 空冷,635,510,14,25,化工设备零件
TC21,M (退火),损伤容限退火,1100,1000,8,20,裂纹扩展速率低，飞机承力框
TC4,M (退火),700-800℃ 空冷 | 板材/棒材,895,825,10,25,标准状态，由于综合性能平衡 | 飞机结构件、螺栓、超声波模头
TC4,STA (固溶时效),950℃水淬+540℃时效,1100,1000,8,20,强化状态，高强紧固件、弹簧
TC4ELI,M (退火),700-800℃ 缓冷,795,760,10,25,低温韧性好，医疗植入物
TC6,M (退火),800-900℃ 空冷,980,840,11,30,高温强度好，发动机叶片
TP270-CoPd,M (退火),板材,270,165,27,40,海水换热器 (比Ti-Pd更经济)
TP270-Pd,M (退火),板材,270,165,27,40,高温氯化物环境、稀盐酸环境
TP270-RuNi,M (退火),板材,270,165,27,40,地热发电、温泉设备 (抗硫化物)
TP270H,M (退火),冷轧板,270,165,27,40,板式换热器、复杂冲压零件
TP340H,M (退火),冷轧板,340,215,23,35,化工厂管道、反应釜、海水淡化
TP340PdH,M (退火),板材,340,215,23,35,高温氯化物、稀盐酸环境设备
TP340S,M (退火),建筑板材,340,215,23,35,博物馆/大剧院屋顶、外墙装饰 (抗变色)
TP480H,M (退火),冷轧板,480,345,18,30,离心机转鼓、高强度容器
TP550H,M (退火),冷轧板,550,485,15,25,钛制工具、建筑支架、骨科植入原材料
Ti-1.5Al,M (退火),薄板,450,315,22,30,汽车排气系统高温段 (800℃抗氧化)
Ti-5Ta,M (退火),板材,345,215,20,30,核燃料再处理、硝酸回收塔
